"year","sum.total.ghg.emissions.mio.tonnes","cumsum.total.ghg.emissions.mio.tonnes"
1990,5649.5,5649.5
1991,5555,11204.5
1992,5379.8,16584.3
1993,5281.5,21865.8
1994,5255.3,27121.1
1995,5308.5,32429.6
1996,5418.7,37848.3
1997,5326.3,43174.6
1998,5281.5,48456.1
1999,5172.6,53628.7
2000,5168.9,58797.6
2001,5223.1,64020.7
2002,5182.9,69203.6
2003,5265.6,74469.2
2004,5265.4,79734.6
2005,5228.4,84963
2006,5214.5,90177.5
2007,5162.4,95339.9
2008,5047,100386.9
2009,4681.9,105068.8
2010,4783.6,109852.4
2011,4626.4,114478.8
2012,4563.1,119041.9
2013,4468.9,123510.8
2014,4297.6,127808.4
2015,4327.3,132135.7
2016,4303.4,136439.1
2017,4323.2,140762.3
