country.code,country.name,year,agriculture.ghg.emissions.mio.tonnes,energy.ghg.emissions.mio.tonnes,industry.ghg.emissions.mio.tonnes,transport.ghg.emissions.mio.tonnes,waste.ghg.emissions.mio.tonnes
AT,Austria,2019,7.4,30.799999999999997,16.1,24.6,1.4
BE,Belgium,2019,9.9,55.8,19.9,27,1.3
BG,Bulgaria,2019,5.8,44,5.4,10.2,3.8
CH,Switzerland,2019,6,20.4,3.8,15.5,0.8
CY,Cyprus,2019,0.5,4.5,1.4,2.1,0.6
CZ,Czech Republic,2019,8.4,79.30000000000001,15.8,18.1,5.4
DE,Germany,2019,63.8,551.1999999999999,59.1,170.1,9.1
DK,Denmark,2019,10.4,18.5,2.1,13,1.1
EE,Estonia,2019,1.4,15.399999999999999,0.7,2.3,0.3
ES,Spain,2019,34.6,163.10000000000002,31.3,89.2,14
EU,EU,2019,427.5,2297.7,369.6,936.7,128.4
FI,Finland,2019,6.6,27.799999999999997,6.2,11.5,1.7
FR,France,2019,75.8,192.20000000000002,42.9,133.9,15.8
GB,United Kingdom,2019,39.8,224.50000000000003,27.8,115.6,17.1
GR,Greece,2019,8,48.3,11.1,17.7,4.7
HR,Croatia,2019,2.8,9.399999999999999,2.8,6.3,2.4
HU,Hungary,2019,7.2,32.5,7.1,13.8,3.2
IE,Ireland,2019,19.8,25.400000000000002,3.4,12.7,0.6
IS,Iceland,2019,0.6,1,2.2,1,0.2
IT,Italy,2019,30.7,240,32.3,103,16.3
LT,Lithuania,2019,4.3,5.6,4,5.5,0.9
LU,Luxembourg,2019,0.7,3.0999999999999996,0.6,5.6,0.1
LV,Latvia,2019,2.8,4.4,0.8,3.1,0.5
MT,Malta,2019,0.1,1.2000000000000002,0.2,0.6,0.2
NL,Netherlands,2019,18.9,112.1,11.1,29.9,2.7
NO,Norway,2019,4.5,25.4,8.4,12,1.1
PL,Poland,2019,30.8,265.6,29,59,11.8
PT,Portugal,2019,6.8,29.3,7.2,16.3,4.8
RO,Romania,2019,19.1,63.5,12.5,17.3,5.3
SE,Sweden,2019,6.8,19.700000000000003,7.7,15.4,1.1
SI,Slovenia,2019,1.9,8.9,1.3,5.4,0.5
SK,Slovakia,2019,2.4,21.400000000000002,9.5,7.7,1.6
