country.code,country.name,total.ghg.emissions.mio.tonnes,ghg.emissions.per.capita.tonnes,total.ghg.emissions.EU28.share,total.ghg.emissions.mio.tonnes.rank
EU28,EU28,4160,8.1,100,0
DE,Germany,853.3,10.3,20.51,1
FR,France,460.7,6.9,11.07,2
UK,United Kingdom,424.8,6.4,10.209999999999999,3
IT,Italy,422.3,7,10.15,4
PL,Poland,396.3,10.3,9.53,5
ES,Spain,332.1,7.1,7.9799999999999995,6
NL,Netherlands,174.8,10,4.2,7
CZ,Czech Republic,127.1,11.9,3.06,8
RO,Romania,117.8,6.1,2.83,9
BE,Belgium,114,9.9,2.74,10
GR,Greece,89.9,8.4,2.16,11
AT,Austria,80.4,9,1.9300000000000002,12
BG,Bulgaria,69.2,9.9,1.66,13
PT,Portugal,64.4,6.3,1.55,14
HU,Hungary,63.9,6.5,1.54,15
IE,Ireland,62,12.7,1.49,16
FI,Finland,53.8,9.8,1.29,17
NO,Norway,51.5,9.7,1.24,18
SE,Sweden,50.7,4.9,1.22,19
CH,Switzerland,46.4,5.4,1.1199999999999999,20
DK,Denmark,45.1,7.8,1.08,21
SK,Slovakia,42.6,7.7,1.02,22
HR,Croatia,23.7,5.8,0.5700000000000001,23
LT,Lithuania,20.2,7.2,0.49,24
EE,Estonia,20,15.4,0.48,25
SI,Slovenia,17.9,8.5,0.43,26
LV,Latvia,11.6,6.1,0.27999999999999997,27
LU,Luxembourg,10.2,17,0.25,28
CY,Cyprus,9.1,10.1,0.22,29
IS,Iceland,5,12.5,0.12,30
MT,Malta,2.4,4.8,0.06,31
